('id1', [['皖AE887X', 0.9754840050285494, [368, 478, 645, 551]]], '2019-04-17 17:22:56')
('id2', [['川C66666', 0.9748310531749428, [465, 554, 743, 627]]], '2019-04-17 17:22:57')
('id3', [['沪A12L50', 0.9732128722188066, [604, 434, 873, 504]]], '2019-04-17 17:22:59')
('id1', [['皖AE887X', 0.9763779810357256, [373, 482, 641, 552]]], '2019-04-17 17:23:00')
('id2', [['川C66666', 0.9742431299887853, [472, 557, 734, 626]]], '2019-04-17 17:23:02')
('id3', [['沪A12L50', 0.9784384454859875, [608, 436, 868, 505]]], '2019-04-17 17:23:03')
('id1', [['皖AE887X', 0.9751463106561046, [371, 478, 648, 551]]], '2019-04-17 17:23:05')
('id2', [['川C66666', 0.975027152456251, [471, 557, 739, 627]]], '2019-04-17 17:23:07')
('id3', [['沪A12L50', 0.9623885495184608, [599, 433, 876, 506]]], '2019-04-17 17:23:08')
('id1', [['皖AE887X', 0.9741782801352705, [372, 478, 652, 553]]], '2019-04-17 17:23:09')
('id2', [['川C66666', 0.9740257944240387, [468, 555, 738, 626]]], '2019-04-17 17:23:11')
('id3', [['沪A12L50', 0.9774240851262651, [601, 433, 874, 506]]], '2019-04-17 17:23:12')
('id1', [['皖AE887X', 0.971821035643727, [370, 479, 646, 552]]], '2019-04-17 17:23:14')
('id2', [['川C66666', 0.9762240137233238, [467, 555, 735, 625]]], '2019-04-17 17:23:15')
('id3', [['沪A12L50', 0.9665574431281293, [600, 433, 878, 506]]], '2019-04-17 17:23:17')
('id1', [['皖AE887X', 0.9698677318298207, [369, 478, 651, 553]]], '2019-04-17 17:23:18')
('id2', [['川C66666', 0.9752385701312662, [467, 556, 737, 627]]], '2019-04-17 17:23:20')
('id3', [['沪A12L50', 0.9758279493737462, [598, 433, 876, 506]]], '2019-04-17 17:23:21')
('id1', [['皖AE887X', 0.9772683041296721, [367, 478, 655, 554]]], '2019-04-17 17:23:23')
('id2', [['川C66666', 0.9736401949470938, [471, 556, 739, 626]]], '2019-04-17 17:23:24')
('id3', [['沪A12L50', 0.9761062775199956, [604, 435, 875, 506]]], '2019-04-17 17:23:26')
('id1', [['皖AE887X', 0.975729192992304, [366, 477, 655, 554]]], '2019-04-17 17:23:27')
('id2', [['川C66666', 0.9726727178979612, [466, 553, 739, 626]]], '2019-04-17 17:23:28')
('id3', [['沪A12L50', 0.9701312609942674, [604, 434, 876, 505]]], '2019-04-17 17:23:30')
('id1', [['皖AE887X', 0.9758820618762523, [373, 480, 642, 551]]], '2019-04-17 17:23:31')
('id2', [['川C66666', 0.9735364913801353, [467, 553, 745, 626]]], '2019-04-17 17:23:33')
('id3', [['沪A12L50', 0.9726631641248987, [602, 435, 873, 506]]], '2019-04-17 17:23:34')
('id1', [['皖AE887X', 0.9750740187369423, [366, 478, 654, 554]]], '2019-04-17 17:23:36')
('id2', [['川C66666', 0.9728576966555443, [467, 555, 740, 626]]], '2019-04-17 17:23:37')
('id3', [['沪A12L50', 0.9762906176563847, [600, 432, 880, 507]]], '2019-04-17 17:23:39')
('id1', [['皖AE887X', 0.974643366663497, [372, 478, 649, 551]]], '2019-04-17 17:23:40')
('id2', [['川C66666', 0.9734639865872418, [469, 556, 733, 626]]], '2019-04-17 17:23:42')
('id3', [['沪A12L50', 0.9728427103448581, [599, 433, 877, 506]]], '2019-04-17 17:23:43')
('id1', [['皖AE887X', 0.9777175102775408, [370, 478, 649, 551]]], '2019-04-17 17:23:45')
('id2', [['川C66666', 0.9763656599041558, [467, 553, 745, 626]]], '2019-04-17 17:23:46')
('id3', [['沪A12L50', 0.9740346329413639, [601, 434, 874, 505]]], '2019-04-17 17:23:48')
('id1', [['皖AE887X', 0.9780079977713242, [370, 479, 648, 552]]], '2019-04-17 17:23:49')
('id2', [['川C66666', 0.976034649766875, [471, 556, 738, 626]]], '2019-04-17 17:23:51')
('id3', [['沪A12L50', 0.972397855336058, [600, 433, 878, 506]]], '2019-04-17 17:23:52')
('id1', [['皖AE887X', 0.9760623063220504, [370, 479, 647, 552]]], '2019-04-17 17:23:54')
('id2', [['川C66666', 0.9733445133342657, [467, 555, 738, 626]]], '2019-04-17 17:23:55')
('id3', [['沪A12L50', 0.9681607484679197, [599, 432, 877, 505]]], '2019-04-17 17:23:57')
('id1', [['皖AE887X', 0.9682140605651958, [366, 479, 644, 552]]], '2019-04-17 17:23:59')
('id2', [['川C66666', 0.9737181152477126, [468, 556, 729, 625]]], '2019-04-17 17:24:00')
('id3', [['沪A12L50', 0.973631807722079, [601, 433, 877, 506]]], '2019-04-17 17:24:02')
